Name,,,,,,,,,,,,,Ticker
ORPEA,FR0000184798,ORP,Euronext Paris,EUR,100.15,101.35,100.15,101.1,05/12/2017 17:35,CET,45107,4549720.6,xpar:ORP
CERENIS,FR0012616852,CEREN,Euronext Paris,EUR,1.95,1.95,1.89,1.9,05/12/2017 17:35,CET,44908,85558.16,xpar:CEREN
TARKETT,FR0004188670,TKTT,Euronext Paris,EUR,33.01,33.13,32.66,33,05/12/2017 17:35,CET,40871,1345515.93,xpar:TKTT
HAULOTTE GROUP,FR0000066755,PIG,Euronext Paris,EUR,15.6,15.6,15.25,15.4,05/12/2017 17:35,CET,40516,626740.67,xpar:PIG
S.E.B.,FR0000121709,SK,Euronext Paris,EUR,154.55,155.35,153.85,153.85,05/12/2017 17:35,CET,39055,6023399.5,xpar:SK
HERMES INTL,FR0000052292,RMS,Euronext Paris,EUR,436.8,437.8,432.95,437,05/12/2017 17:35,CET,39000,17002761.75,xpar:RMS
FIGEAC AERO,FR0011665280,FGA,Euronext Paris,EUR,15.9,16,15.51,15.74,05/12/2017 17:35,CET,38248,599830.48,xpar:FGA
PRODWAYS,FR0012613610,PWG,Euronext Paris,EUR,4.91,4.91,4.78,4.8,05/12/2017 17:29,CET,37951,183659.83,xpar:PWG
SOPRA STERIA GROUP,FR0000050809,SOP,Euronext Paris,EUR,151.5,152.25,148.9,152.15,05/12/2017 17:35,CET,34516,5214628.5,xpar:SOP
GUILLEMOT,FR0000066722,GUI,Euronext Paris,EUR,4.99,4.99,4.88,4.88,05/12/2017 17:35,CET,33738,165550.69,xpar:GUI
SHOWROOMPRIVE,FR0013006558,SRP,Euronext Paris,EUR,10.01,10.04,9.7,9.77,05/12/2017 17:35,CET,33522,329846.55,xpar:SRP
LISI,FR0000050353,FII,Euronext Paris,EUR,39.495,39.55,39.1,39.42,05/12/2017 17:35,CET,33406,1314480.98,xpar:FII
HSBC HOLDINGS,GB0005405286,HSB,Euronext Paris,EUR,8.33,8.33,8.28,8.28,05/12/2017 17:35,CET,33191,275303.08,xpar:HSB
MBWS,FR0000060873,MBWS,Euronext Paris,EUR,11.74,11.91,11.65,11.7,05/12/2017 17:35,CET,32702,384261.16,xpar:MBWS
POXEL,FR0012432516,POXEL,Euronext Paris,EUR,6.76,6.8,6.7,6.73,05/12/2017 17:35,CET,32491,219089.91,xpar:POXEL
VOLTALIA,FR0011995588,VLTSA,Euronext Paris,EUR,10.9,11,10.85,10.95,05/12/2017 17:35,CET,32450,355142.74,xpar:VLTSA
