,Name,Category Name,,Ticker
PINF.MI,Pininfarina S.p.A.,Auto Manufacturers - Major,PINF,xmil:PINF
PIA.MI,Piaggio & C. SpA,Recreational Vehicles,PIA,xmil:PIA
IT.MI,Italcementi SpA,,IT,xmil:IT
COF.MI,COFIDE - Gruppo De Benedetti S.p.A.,Diversified Utilities,COF,xmil:COF
TME.MI,Telecom Italia Media SpA,,TME,xmil:TME
TXT.MI,TXT e-solutions S.p.A.,Technical & System Software,TXT,xmil:TXT
TRN.MI,TERNA - Rete Elettrica Nazionale Società per Azioni,Electric Utilities,TRN,xmil:TRN
TIT.MI,Telecom Italia S.p.A.,Wireless Communications,TIT,xmil:TIT
TIS.MI,Tiscali S.p.A.,Wireless Communications,TIS,xmil:TIS
TIP.MI,Tamburi Investment Partners S.p.A.,Asset Management,TIP,xmil:TIP
SSL.MI,S.S. Lazio S.p.A.,"Recreational Goods, Other",SSL,xmil:SSL
SPMR.MI,Saipem S.p.A.,Oil & Gas Equipment & Services,SPMR,xmil:SPMR
SPM.MI,Saipem S.p.A.,Oil & Gas Equipment & Services,SPM,xmil:SPM
SES.MI,SeSa S.p.A.,Information Technology Services,SES,xmil:SES
SAVE.MI,SAVE S.p.A.,"Air Services, Other",SAVE,xmil:SAVE
SAB.MI,Sabaf S.p.A.,Diversified Machinery,SAB,xmil:SAB
RN.MI,Risanamento SpA,Real Estate Development,RN,xmil:RN
PRL.MI,Pierrel S.p.A.,Drug Manufacturers - Major,PRL,xmil:PRL
MS.MI,Mediaset S.p.A.,Broadcasting - TV,MS,xmil:MS
MON.MI,Monrif S.p.A.,Publishing - Newspapers,MON,xmil:MON
MLM.MI,MolMed S.p.A.,Biotechnology,MLM,xmil:MLM
MCH.MI,Mediacontech S.p.A.,Entertainment - Diversified,MCH,xmil:MCH
ITM.MI,Italmobiliare S.p.A.,General Building Materials,ITM,xmil:ITM
IND.MI,IND.MI,,IND,xmil:IND
INC.MI,Innovatec S.p.A.,Electric Utilities,INC,xmil:INC
COV.MI,COVER 50 S.p.A.,Textile - Apparel Clothing,COV,xmil:COV
LIT.MI,Retelit S.p.A.,Wireless Communications,LIT,xmil:LIT
PLTE.MI,PLT energia S.p.A.,Electric Utilities,PLTE,xmil:PLTE
RAT.MI,Ratti S.p.A.,Textile Industrial,RAT,xmil:RAT
MEC.MI,M&C S.p.A.,Asset Management,MEC,xmil:MEC
ITMR.MI,Italmobiliare SpA,,ITMR,xmil:ITMR
SII.MI,Sintesi Società di Investimenti e Partecipazioni S.p.A.,Asset Management,SII,xmil:SII
USRB.MI,UnipolSai Assicurazioni S.p.A.,,USRB,xmil:USRB
CAD.MI,CAD IT S.p.A.,Technical & System Software,CAD,xmil:CAD
ENG.MI,Engineering Ingegneria Informatica S.p.A.,,ENG,xmil:ENG
NOE.MI,NOEMALIFE S.p.A,,NOE,xmil:NOE
MTV.MI,MONDO TV S.p.A.,Entertainment - Diversified,MTV,xmil:MTV
MIT.MI,Mittel S.p.A,Asset Management,MIT,xmil:MIT
SITI.MI,SITI - B&T Group S.p.A.,Diversified Machinery,SITI,xmil:SITI
DEA.MI,DeA Capital S.p.A.,Asset Management,DEA,xmil:DEA
PRI.MI,Prima Industrie S.p.A.,Diversified Machinery,PRI,xmil:PRI
CALT.MI,Caltagirone SpA,Asset Management,CALT,xmil:CALT
PITE.MI,PITECO S.p.A.,Technical & System Software,PITE,xmil:PITE
PQ.MI,Piquadro S.p.A.,Textile - Apparel Footwear & Accessories,PQ,xmil:PQ
AUTME.MI,Autostrade Meridionali S.p.A.,Trucking,AUTME,xmil:AUTME
ROS.MI,Rosss S.p.A.,Business Equipment,ROS,xmil:ROS
SFL.MI,Safilo Group S.p.A.,Medical Instruments & Supplies,SFL,xmil:SFL
MAIL.MI,MailUp S.p.A.,Marketing Services,MAIL,xmil:MAIL
TBS.MI,TBS Group S.p.A.,Medical Appliances & Equipment,TBS,xmil:TBS
SNA.MI,Snaitech S.p.A.,Gaming Activities,SNA,xmil:SNA
PRS.MI,Prelios S.p.A.,Property Management,PRS,xmil:PRS
PST.MI,Poste Italiane SpA,Credit Services,PST,xmil:PST
TES.MI,Tesmec S.p.A.,Diversified Machinery,TES,xmil:TES
CAI.MI,Cairo Communication S.p.A.,Advertising Agencies,CAI,xmil:CAI
SB.MI,Safe Bag S.p.A,Packaging & Containers,SB,xmil:SB
RWAY.MI,Rai Way S.p.A.,Entertainment - Diversified,RWAY,xmil:RWAY
TER.MI,TerniEnergia S.p.A.,Electric Utilities,TER,xmil:TER
KRE.MI,K.R.Energy S.p.A.,Electric Utilities,KRE,xmil:KRE
MCK.MI,MC-link S.p.A.,Internet Information Providers,MCK,xmil:MCK
ME.MI,Meridie S.p.A.,Asset Management,ME,xmil:ME
LUVE.MI,LU-VE S.p.A.,Diversified Machinery,LUVE,xmil:LUVE
PCP.MI,PIRELLI & C. SocietÃ per Azioni,,PCP,xmil:PCP
SRI.MI,Servizi Italia S.p.A.,Business Services,SRI,xmil:SRI
TECN.MI,Tecnoinvestimenti S.p.A.,Information Technology Services,TECN,xmil:TECN
RM.MI,Reno De Medici S.p.A.,Paper & Paper Products,RM,xmil:RM
VLS.MI,Valsoia SpA,Food - Major Diversified,VLS,xmil:VLS
SOL.MI,Sol SpA,Chemicals - Major Diversified,SOL,xmil:SOL
US.MI,UnipolSai Assicurazioni S.p.A.,Property & Casualty Insurance,US,xmil:US
IWB.MI,Italian Wine Brands S.p.A.,Beverages - Wineries & Distillers,IWB,xmil:IWB
WIG.MI,Gruppo Waste Italia S.p.A.,,WIG,xmil:WIG
PRM.MI,Primi sui Motori S.p.A,Marketing Services,PRM,xmil:PRM
NPI.MI,Notorious Pictures S.p.A.,Broadcasting - TV,NPI,xmil:NPI
ITW.MI,Itway S.p.A.,Technical & System Software,ITW,xmil:ITW
