,Ticker,Name
WIN:xetr,xetr:WIN,Diebold Nixdorf AG
WL6:xetr,xetr:WL6,Heidelberg Pharma AG
WL6J:xetr,xetr:WL6J,Wilex AG
WSOK:xetr,xetr:WSO1,Wallstreet:online AG
WSU:xetr,xetr:WSU,WashTec AG
WUG:xetr,xetr:WUG,Westag + Getalit AG St
WUG3:xetr,xetr:WUG3,Westag & Getalit Pref AG Vz
WUW:xetr,xetr:WUW,Wuestenrot & Wuerttembergische AG
XMY:xetr,xetr:XMY,mybet Holding SE
YOC:xetr,xetr:YOC,YOC AG
YSN:xetr,xetr:YSN,Secunet Security Networks AG
ZAL:xetr,xetr:ZAL,Zalando SE
ZEF:xetr,xetr:ZEF,ZhongDe Waste Technology AG
ZEG:xetr,xetr:ZEG,Astrazeneca Plc
ZFIN:xetr,xetr:ZFIN,Zurich Insurance Group AG
ZIL2:xetr,xetr:ZIL2,Elringklinger AG
ZO1:xetr,xetr:ZO1,zooplus AG
