,Name,Ticker
00692:xhkg,China Household Holdings Ltd,xhkg:00692
00693:xhkg,Tan Chong International Ltd,xhkg:00693
00694:xhkg,Beijing Capital International Airport Co. Ltd,xhkg:00694
00695:xhkg,Dongwu Cement International Ltd,xhkg:00695
00696:xhkg,Travelsky Technology Ltd,xhkg:00696
00697:xhkg,Shougang Concord International Enterprises Co. Ltd,xhkg:00697
00698:xhkg,Tongda Group Holdings Ltd,xhkg:00698
00699:xhkg,CAR Inc.,xhkg:00699
00700:xhkg,Tencent Holdings Ltd,xhkg:00700
00703:xhkg,Future Bright Holdings Ltd,xhkg:00703
00705:xhkg,Ding He Mining Holdings Ltd,xhkg:00705
00706:xhkg,Beautiful China Holdings Co Ltd,xhkg:00706
00707:xhkg,Co-Prosperity Holdings Ltd,xhkg:00707
708:xhkg,Evergrande Health Industry Group Ltd,xhkg:708
00709:xhkg,Giordano International Ltd,xhkg:00709
00710:xhkg,BOE Varitronix Ltd,xhkg:00710
00712:xhkg,Comtec Solar Systems Group Ltd,xhkg:00712
00715:xhkg,China Oceanwide Holdings Ltd,xhkg:00715
00716:xhkg,Singamas Container Holdings Ltd,xhkg:00716
00717:xhkg,Emperor Capital Group Ltd,xhkg:00717
00718:xhkg,Tai United Holdings Ltd,xhkg:00718
00719:xhkg,Shandong Xinhua Pharmaceutical Co. Ltd,xhkg:00719
00720:xhkg,Auto Italia Holdings Ltd,xhkg:00720
00721:xhkg,China Financial International Investments Ltd,xhkg:00721
00722:xhkg,UMP Healthcare Holdings Ltd,xhkg:00722
00724:xhkg,Ruixin International Holdings Ltd,xhkg:00724
00727:xhkg,Crown International Corporation Ltd,xhkg:00727
00728:xhkg,China Telecom Corp. Ltd,xhkg:00728
00729:xhkg,FDG Electric Vehicles Ltd,xhkg:00729
00732:xhkg,Truly International Holdings Ltd,xhkg:00732
00733:xhkg,Hopefluent Group Holdings Ltd,xhkg:00733
00735:xhkg,China Power Clean Energy Development Company Ltd,xhkg:00735
00737:xhkg,Hopewell Highway Infrastructure Ltd,xhkg:00737
00738:xhkg,Le Saunda Holdings Ltd,xhkg:00738
00743:xhkg,Asia Cement (China) Holdings Corporation,xhkg:00743
00745:xhkg,China National Culture Group Ltd,xhkg:00745
00746:xhkg,Lee & Man Cheminal Co. Ltd,xhkg:00746
00751:xhkg,Skyworth Digital Holdings Ltd,xhkg:00751
00752:xhkg,Pico Far East Holdings Ltd,xhkg:00752
00753:xhkg,Air China Ltd,xhkg:00753
00754:xhkg,Hopson Development Holdings Ltd,xhkg:00754
00756:xhkg,Tianyi (Summi) Holdings Ltd,xhkg:00756
00759:xhkg,CEC Intl Holdings Ltd,xhkg:00759
00762:xhkg,China Unicom Ltd,xhkg:00762
00763:xhkg,ZTE Corporation,xhkg:00763
00767:xhkg,Pacific Plywood Holdings Ltd,xhkg:00767
00769:xhkg,China Rare Earth Holdings Ltd,xhkg:00769
00771:xhkg,Automated Systems Holdings Ltd,xhkg:00771
00772:xhkg,China Literature Ltd,xhkg:00772
00775:xhkg,CK Life Sciences Intl (Holdings) Inc.,xhkg:00775
00777:xhkg,NetDragon Websoft Inc.,xhkg:00777
00778:xhkg,Fortune REIT,xhkg:00778
00787:xhkg,Global Brands Group Holdings Ltd,xhkg:00787
00789:xhkg,Primeview Holdings Ltd,xhkg:00789
